round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,third_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
16,0.5708825588226318,0.681870698928833,1.1281955242156982,0.6141999959945679,1000,1000,150,relu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
26,0.8535475134849548,0.6092047095298767,0.6894042491912842,0.5,1000,1000,500,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
13,0.6876981854438782,0.5336587429046631,0.6647132635116577,0.5400000214576721,1000,1000,150,elu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
11,0.6914997100830078,0.5125847458839417,0.6947765946388245,0.5,1000,1000,100,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
11,0.7181275486946106,0.4641585052013397,0.7036999464035034,0.5,1000,1000,100,elu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
13,0.00180011463817209,0.9999999403953552,1.840673565864563,0.7422998547554016,1000,1000,250,elu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
11,0.6883836388587952,0.533621072769165,0.6996862888336182,0.5,1000,1000,150,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
14,0.6936100125312805,0.4866081178188324,0.6932126879692078,0.5,1000,1000,100,relu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
18,11.463153839111328,0.5025062561035156,10.117630958557129,0.5049999952316284,1000,1000,500,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
13,0.029638223350048065,0.9992775321006775,2.230848550796509,0.7740499973297119,1000,1000,500,relu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
13,1.9773674011230469,0.5167838335037231,1.2339165210723877,0.5049999952316284,1000,1000,150,elu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
13,0.7053534984588623,0.5202888250350952,0.7151579260826111,0.5,1000,1000,250,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
11,0.7163419127464294,0.5275218486785889,0.693397045135498,0.5,1000,1000,150,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
23,0.011834194883704185,0.9999434947967529,2.7325632572174072,0.7243499755859375,1000,1000,100,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
11,0.6953325867652893,0.4921357333660126,0.693157434463501,0.5,1000,1000,100,relu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
12,0.6863357424736023,0.5069628953933716,0.6862542033195496,0.5099999904632568,1000,1000,500,relu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
11,1.1209739446640015,0.5303389430046082,0.690457820892334,0.5049999952316284,1000,1000,150,elu,sigmoid,32,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
12,0.6859408020973206,0.5185551643371582,0.7026684284210205,0.4801499843597412,1000,1000,500,relu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
12,0.48143449425697327,0.7781044244766235,2.5274085998535156,0.6937500238418579,1000,1000,150,relu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
13,0.1301938146352768,0.99029541015625,1.9959591627120972,0.7314000129699707,1000,1000,250,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
11,0.0245590191334486,0.9984579682350159,2.4629955291748047,0.7249500155448914,1000,1000,100,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c08fcf8>
