round_epochs,loss,auc,val_loss,val_auc,first_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
13,0.6623337864875793,0.6549992561340332,0.7715957164764404,0.5583999752998352,10,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
34,0.6566165089607239,0.6652830839157104,0.7257801294326782,0.5705499649047852,3,elu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
49,0.6337283849716187,0.690165638923645,0.7255880832672119,0.5793499946594238,5,elu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
50,0.6651003956794739,0.6408644914627075,0.6858457922935486,0.5997000336647034,10,elu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
33,0.6736103892326355,0.6226894855499268,0.7052785754203796,0.5453000068664551,8,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
15,0.6509166955947876,0.6623412370681763,0.7078397870063782,0.5795999765396118,10,elu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
50,0.6321573853492737,0.6910810470581055,0.7063435912132263,0.6024999618530273,10,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
50,0.6392006278038025,0.6867092847824097,0.7118121385574341,0.5917500257492065,8,elu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
36,0.6632416844367981,0.6418177485466003,0.6931257843971252,0.580049991607666,10,elu,sigmoid,32,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
28,0.6593916416168213,0.6389895677566528,0.7370455861091614,0.5440999865531921,3,relu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
15,0.653747022151947,0.6203252077102661,0.7186232805252075,0.5579999685287476,3,relu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
32,0.6318038702011108,0.6876720190048218,0.7284532189369202,0.5669499635696411,5,relu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
21,0.6470202207565308,0.6772366762161255,0.7147911190986633,0.562000036239624,10,relu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
50,0.6433374881744385,0.6696990132331848,0.7209967970848083,0.5938999652862549,10,relu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
21,0.6411244869232178,0.675399661064148,0.70476233959198,0.595550000667572,10,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
50,0.667278528213501,0.6479476690292358,0.6817611455917358,0.5873000025749207,3,elu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
32,0.624260663986206,0.70412677526474,0.7196533679962158,0.5602999925613403,8,relu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
23,0.6311202049255371,0.6944836974143982,0.7571643590927124,0.5610500574111938,8,relu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
32,0.7034898400306702,0.5671195387840271,0.7021833658218384,0.5874500274658203,3,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
15,0.657692551612854,0.6504791975021362,0.7111854553222656,0.5590999722480774,3,relu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
20,0.6668253540992737,0.6107358932495117,0.7029082775115967,0.5200499892234802,5,relu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f66633099b0>
