round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,third_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
24,0.0014724144712090492,1.0,2.181572914123535,0.7505000233650208,1000,500,100,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
23,0.13827461004257202,0.9896356463432312,9.784406661987305,0.7307499647140503,1000,500,100,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
14,0.022791769355535507,0.998589813709259,4212181696512.0,0.7335999608039856,1000,500,100,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
11,0.0002214764681411907,1.0,777265086464.0,0.7457499504089355,1000,500,500,relu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
12,0.44623103737831116,0.8022216558456421,0.8654540181159973,0.6901500225067139,1000,500,100,relu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
12,0.693645715713501,0.4743908643722534,0.693176805973053,0.5,1000,500,100,relu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
12,0.0028584341052919626,1.0,1.7422668933868408,0.7579999566078186,1000,500,150,elu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
16,0.07278228551149368,0.9962783455848694,7.282575607299805,0.6979999542236328,1000,500,250,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
11,0.6918365359306335,0.4856659173965454,0.7386602759361267,0.4950000047683716,1000,500,150,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
14,0.7831411957740784,0.6028040647506714,0.8613575100898743,0.5357000231742859,1000,500,150,elu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
12,0.7342148423194885,0.4790327847003937,0.7034242749214172,0.4950000047683716,1000,500,250,elu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
11,0.6910233497619629,0.509183406829834,0.7069661021232605,0.47850000858306885,1000,500,250,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
25,0.71598881483078,0.4913003146648407,0.7303020358085632,0.5,1000,500,150,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
11,1.2017874717712402,0.4886276125907898,0.6960804462432861,0.5,1000,500,150,elu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
20,0.04788617789745331,0.9966707825660706,2.2427775859832764,0.7425999641418457,1000,500,100,elu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
22,4.551900929072872e-05,1.0,213567193088.0,0.731749951839447,1000,500,150,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
16,0.6914475560188293,0.4799498915672302,0.6954675912857056,0.5000500082969666,1000,500,150,relu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
24,0.25978222489356995,0.9678456783294678,4.062065601348877,0.7589000463485718,1000,500,250,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
14,0.8055981397628784,0.5329269170761108,0.8443151712417603,0.5,1000,500,500,elu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
11,0.7004374861717224,0.49030470848083496,0.6897282600402832,0.5049999952316284,1000,500,500,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
13,0.6823866367340088,0.4707696735858917,4.562413215637207,0.5049999952316284,1000,500,100,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f661c654cf8>
