round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,third_neuron,fourth_neuron,fifth_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
16,0.11166520416736603,0.9919252991676331,43643076608.0,0.6698500514030457,1000,500,500,100,250,elu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.17093637585639954,0.9818060398101807,2.122696876525879,0.6856499910354614,1000,1000,500,250,100,elu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.7166512608528137,0.5104992985725403,0.7048187255859375,0.5447499752044678,1000,1000,500,250,250,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
20,0.6423230767250061,0.7038524150848389,0.6923836469650269,0.6466999650001526,1000,1000,250,250,500,elu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
16,0.631904125213623,0.6855641603469849,0.8722360134124756,0.5638500452041626,1000,500,500,100,100,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.7139185667037964,0.47872814536094666,0.6977623105049133,0.5,500,1000,250,500,100,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
20,1.0779430866241455,0.8174384236335754,195551264768.0,0.6757500171661377,500,1000,250,500,100,relu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
21,0.08220205456018448,0.9924969673156738,2.319516897201538,0.6502499580383301,1000,500,500,100,100,elu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.09922762215137482,0.9932004809379578,18782156800.0,0.6855000257492065,500,1000,250,100,100,relu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
19,0.06626491993665695,0.9975502490997314,13288857600.0,0.6817500591278076,500,500,250,250,500,elu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.6973162293434143,0.5930710434913635,0.7416989207267761,0.5347000360488892,500,500,500,250,250,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.6944677829742432,0.48427456617355347,0.6938677430152893,0.5,500,1000,500,100,500,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.6945725083351135,0.49449750781059265,0.6950139403343201,0.5,500,1000,250,250,500,relu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
16,0.11749572306871414,0.990342378616333,3.2148427963256836,0.6845999956130981,1000,1000,500,500,250,elu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
