round_epochs,loss,auc,val_loss,val_auc,first_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
28,9.742447853088379,0.9749373197555542,1574.6187744140625,0.6299999952316284,250,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
19,0.11677867919206619,0.9921074509620667,5.37420654296875,0.6726500391960144,750,elu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
11,0.8386476039886475,0.9422333836555481,11.55905532836914,0.6366999745368958,750,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
20,0.27789929509162903,0.9771861433982849,8.64567756652832,0.6391000151634216,1000,relu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
24,0.031139438971877098,0.999748706817627,61404475392.0,0.7033499479293823,1000,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
15,0.2893452048301697,0.9715265035629272,4.139906883239746,0.6412000060081482,500,relu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
30,7.808680534362793,0.9660366773605347,387.17559814453125,0.6545999646186829,250,relu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
25,4.0342912673950195,0.9811779260635376,100126592860160.0,0.6637499928474426,750,elu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
12,85.32581329345703,0.897243082523346,1075.8602294921875,0.6229499578475952,750,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
12,35.53117752075195,0.8792344331741333,32066857074688.0,0.638700008392334,250,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
33,33.460784912109375,0.9774435758590698,481426575196160.0,0.6100000143051147,500,relu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
15,35.151100158691406,0.9321549534797668,36109270646784.0,0.6600000262260437,1000,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
37,0.008185709826648235,0.9999936819076538,336921001984.0,0.7102499604225159,750,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
18,0.374740332365036,0.9822582602500916,1922680487936.0,0.6064999103546143,750,relu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
17,0.007119828835129738,0.9999999403953552,17042322432.0,0.7094500064849854,1000,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
22,0.006661225110292435,1.0,1.5346277952194214,0.7106499671936035,1000,relu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
26,9.106249809265137,0.958533525466919,749.6253051757812,0.6487999558448792,250,relu,sigmoid,32,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
18,19.461774826049805,0.9257166385650635,70832835526656.0,0.6060000061988831,250,elu,sigmoid,32,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
42,0.003515543881803751,1.0,2.840160846710205,0.7132999897003174,250,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
13,0.11166449636220932,0.9940264225006104,29296271360.0,0.7131999731063843,750,elu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
12,0.08487968891859055,0.9990326762199402,7894649856.0,0.7192000150680542,250,relu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f6654155898>
