round_epochs,loss,auc,val_loss,val_auc,first_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
15,0.6877371668815613,0.5947449207305908,0.6839107275009155,0.5770000219345093,3,relu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
12,0.6939038038253784,0.5120288133621216,0.6863960027694702,0.5678000450134277,10,relu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
50,0.6541910171508789,0.6613117456436157,0.676423192024231,0.6258999705314636,8,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
46,0.6622756719589233,0.6399645805358887,0.6872796416282654,0.6018000245094299,8,relu,sigmoid,32,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
11,0.6526888608932495,0.6579355597496033,0.6843269467353821,0.6085000038146973,8,relu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
41,0.6512926816940308,0.6697036623954773,0.6877996921539307,0.6089000105857849,5,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
26,0.6698834896087646,0.6439406871795654,0.7014104723930359,0.5979499816894531,5,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
50,0.6562257409095764,0.6525367498397827,0.6827348470687866,0.6124999523162842,10,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
14,0.648104727268219,0.6764153242111206,0.6823867559432983,0.6030499935150146,8,relu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
36,0.6465082168579102,0.6709285974502563,0.6851820349693298,0.6074999570846558,8,relu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
27,0.6793877482414246,0.5967079401016235,0.6865490674972534,0.5925500392913818,5,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
50,0.669186532497406,0.6265066862106323,0.6921371221542358,0.5897499918937683,5,relu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
39,0.6635187864303589,0.6447195410728455,0.6787254810333252,0.620650053024292,5,elu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
50,0.6635260581970215,0.6508281826972961,0.6790558099746704,0.6118999719619751,3,elu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
29,0.6759656071662903,0.6009352803230286,0.6768006682395935,0.606249988079071,3,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
33,0.6918076276779175,0.6084854602813721,0.7213950157165527,0.6029000282287598,10,elu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
50,0.6489222049713135,0.6706302165985107,0.6900342702865601,0.6082000136375427,8,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
50,0.6708285808563232,0.6404325366020203,0.6928373575210571,0.5765500068664551,10,relu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
43,0.6523178219795227,0.6624047160148621,0.6861863136291504,0.6025500297546387,5,elu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
31,0.6689560413360596,0.6178227663040161,0.6868383884429932,0.6001499891281128,3,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
27,0.6508054733276367,0.6683281064033508,0.6886229515075684,0.6096999645233154,8,elu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f65f876be48>
