round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
12,0.009090934880077839,0.9999686479568481,2.0797088146209717,0.7605999708175659,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0004087529669050127,1.0,1.643725872039795,0.76705002784729,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
23,0.000593420525547117,1.0,2.255551815032959,0.7558000087738037,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0009371459600515664,1.0,1.3364918231964111,0.7799000144004822,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.009109238162636757,0.9999685883522034,2.240049362182617,0.7342000007629395,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.000989602878689766,0.9999999403953552,1.4220337867736816,0.7835000157356262,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0003283846890553832,1.0,1.842124342918396,0.7834000587463379,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.0023162271827459335,0.9999999403953552,1.958469033241272,0.7811499834060669,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0018596287118270993,0.9999999403953552,148635762688.0,0.7630999684333801,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.08013354241847992,0.9942682981491089,2.0349392890930176,0.7544500231742859,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
18,0.0004055309109389782,1.0,1.5857728719711304,0.7701999545097351,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0008383530075661838,0.9999999403953552,1870331641856.0,0.7633000016212463,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.031531743705272675,0.999447226524353,2.0292763710021973,0.7519500255584717,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
18,0.1628282368183136,0.98415207862854,2.395484447479248,0.7189499735832214,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.00045497046085074544,0.9999999403953552,611893313536.0,0.7640999555587769,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0009668503189459443,1.0,1.5024690628051758,0.7540000081062317,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0010639987885951996,1.0,1.3310043811798096,0.7788999676704407,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.005777020938694477,1.0,1397054898176.0,0.7660999894142151,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.04236777126789093,0.998919665813446,1.5874929428100586,0.7745499014854431,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0656217411160469,0.9956502318382263,1.8951127529144287,0.7737500071525574,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0008473021443933249,0.9999999403953552,48594497536.0,0.7801499962806702,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.11163458973169327,0.9908071756362915,2.0328164100646973,0.7389500141143799,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.009874456562101841,0.9999748468399048,699705589760.0,0.7591000199317932,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.001064287731423974,1.0,1.5221335887908936,0.7857999801635742,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
23,0.00035340528120286763,1.0,1.5215742588043213,0.7742000222206116,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
11,0.0009973823325708508,1.0,1.5312695503234863,0.7785499095916748,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.0007238605176098645,0.9999999403953552,418400239616.0,0.7558499574661255,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.001163902343250811,1.0,1.3450509309768677,0.7727499604225159,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.008425191976130009,0.999962329864502,2.005664587020874,0.755549967288971,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
