round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
13,0.04326150566339493,0.9976695775985718,1.5150178670883179,0.7416999936103821,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.0007296616095118225,1.0,1.2774970531463623,0.7860000133514404,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.11895434558391571,0.9911243319511414,1.5933313369750977,0.7405500411987305,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.000903699838090688,0.9999999403953552,1.3307653665542603,0.7673999667167664,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
11,0.0009743745322339237,1.0,1.2887424230575562,0.7862499952316284,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0015627299435436726,0.9999999403953552,1.0991445779800415,0.7823500037193298,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0007863311329856515,1.0,1.2673451900482178,0.7790499925613403,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.00038827594835311174,1.0,1.549591064453125,0.7796000242233276,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0011515087680891156,1.0,1.189699649810791,0.7702001333236694,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.1187734305858612,0.9912626147270203,1.3014459609985352,0.7621999382972717,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0006432972732000053,1.0,1.3856291770935059,0.7878999710083008,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0012220132630318403,1.0,1.5824477672576904,0.7788000702857971,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
11,0.0025259011890739202,1.0,1.0925407409667969,0.7950500249862671,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0009089790983125567,1.0,1.4074769020080566,0.7777500152587891,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0006009943317621946,1.0,1.3437711000442505,0.784000039100647,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
11,0.024974437430500984,0.999579131603241,1.353458046913147,0.7799000144004822,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0005133550730533898,1.0,1.351625680923462,0.812250018119812,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
26,0.0001864690420916304,1.0,1.4294859170913696,0.8101000189781189,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0016939386259764433,1.0,1.2590981721878052,0.7819499969482422,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0006847262848168612,1.0,1.3205479383468628,0.7854501008987427,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.1621953845024109,0.9875220656394958,1.4110989570617676,0.7587999701499939,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.12707731127738953,0.9889542460441589,1.5076113939285278,0.7208999991416931,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0009124840144068003,0.9999999403953552,1.550337791442871,0.7656999826431274,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
17,0.0002621971070766449,1.0,1.5002115964889526,0.7732499241828918,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
11,0.001342687290161848,1.0,1.3858616352081299,0.7898000478744507,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0011063534766435623,0.9999999403953552,1.0612376928329468,0.7851499915122986,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.04762035608291626,0.998624324798584,1.4906736612319946,0.7484000325202942,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.0010433599818497896,1.0,1.0971468687057495,0.7932999730110168,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0008945934823714197,1.0,1.2805782556533813,0.7961999773979187,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
