round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
25,0.00017639363068155944,1.0,60571391098880.0,0.7583999633789062,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
11,0.00147021294105798,1.0,454990111965184.0,0.7751500010490417,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0010669475886970758,1.0,128962718072832.0,0.7783499956130981,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.0012869659112766385,1.0,278034724683776.0,0.766200065612793,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0017713286215439439,1.0,534256384212992.0,0.7590499520301819,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
14,0.0003488317597657442,1.0,129457595613184.0,0.7565500736236572,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0011847054120153189,1.0,842660511744.0,0.750249981880188,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
15,0.01185457594692707,0.9999179244041443,679865606995968.0,0.7300000190734863,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.010205591097474098,0.9999558329582214,246623682691072.0,0.75409996509552,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0006215378525666893,1.0,303450143326208.0,0.7547999620437622,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.14693108201026917,0.9873045682907104,44848727982080.0,0.7164499163627625,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
19,0.0003033334796782583,1.0,214276908253184.0,0.7700999975204468,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.038624826818704605,0.9968656301498413,370863782232064.0,0.7193499803543091,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.000984366168268025,1.0,178564204855296.0,0.7743500471115112,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.001367134042084217,1.0,289285777391616.0,0.7721499800682068,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
21,0.0003205320390406996,1.0,71319743889408.0,0.7376000285148621,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.000574020785279572,1.0,130697834528768.0,0.760200023651123,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.0008922467241063714,1.0,63982358495232.0,0.7703999876976013,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0009150277473963797,1.0,69731763617792.0,0.717400074005127,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0008461771649308503,1.0,158590207787008.0,0.7576999664306641,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.001322734635323286,1.0,226265705480192.0,0.754849910736084,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0014468441950157285,0.9999999403953552,176462707556352.0,0.7511999607086182,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
30,7.782105967635289e-05,1.0,54892534169600.0,0.7688000202178955,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
15,0.002236934844404459,1.0,51529700605952.0,0.7336499691009521,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0012032098602503538,1.0,155995577778176.0,0.7578499913215637,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
17,0.0018936810083687305,0.9999999403953552,216338509332480.0,0.7458000779151917,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
13,0.0005068163736723363,1.0,407297855586304.0,0.753250002861023,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
20,0.04786594957113266,0.9983618259429932,247593841983488.0,0.702549934387207,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
12,0.0013708722544834018,1.0,248007350026240.0,0.76705002784729,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b9212b45b70>
