round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
12,0.002485445234924555,1.0,2.576068639755249,0.7061499953269958,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
27,0.0011024217819795012,1.0,2.4615304470062256,0.7108500003814697,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
15,0.06199472025036812,0.9977230429649353,3.026188850402832,0.685699999332428,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.0233082827180624,0.9998586773872375,2.06645131111145,0.6912499666213989,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
26,0.0004911958239972591,0.9999999403953552,3.012765884399414,0.6922000646591187,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
17,0.06937099993228912,0.9947865009307861,4.661941051483154,0.7223500609397888,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.0394972525537014,0.9982444643974304,1.73012113571167,0.7024000287055969,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
18,0.25962668657302856,0.9787092804908752,1.9165496826171875,0.7167500257492065,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
22,0.0014269344974309206,1.0,3.2862987518310547,0.716249942779541,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.004564621020108461,0.9999999403953552,2.2662975788116455,0.7149999737739563,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.0011306926608085632,1.0,3.179934501647949,0.7195999622344971,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
20,0.0011248551309108734,1.0,2.900283098220825,0.7264000177383423,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.00481007993221283,1.0,3.0042593479156494,0.7234500050544739,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
21,0.0004542039823718369,1.0,3.3906655311584473,0.6937999725341797,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
14,0.0016322849551215768,1.0,2.6778781414031982,0.6994499564170837,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
23,0.0005836107884533703,1.0,2.940962553024292,0.7169499397277832,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
34,0.000546697003301233,1.0,3.772634267807007,0.700950026512146,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.015308531001210213,0.9999340772628784,2.497000217437744,0.7009000778198242,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.0010048305848613381,0.9999999403953552,3.804328680038452,0.6927499771118164,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
17,0.0012682307278737426,1.0,2.516573190689087,0.7218999862670898,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
18,0.0011688541853800416,1.0,2.502307653427124,0.7254499197006226,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.12556371092796326,0.9901759624481201,3.362182855606079,0.7062000632286072,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.001975876512005925,1.0,3.088043451309204,0.7029000520706177,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
20,0.0006148857646621764,1.0,3.972937822341919,0.7177499532699585,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
27,0.0008903222624212503,0.9999999403953552,2.7901499271392822,0.7014999985694885,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.015157553367316723,0.9999779462814331,3.603015422821045,0.6955999732017517,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
14,0.03740861266851425,0.9983574748039246,2.881608247756958,0.6978999972343445,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.051045581698417664,0.9975973963737488,2.5120561122894287,0.7106500267982483,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.05852736905217171,0.9951413869857788,2.5641660690307617,0.7097999453544617,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
