round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
12,0.04271068796515465,0.9989886283874512,2.007730484008789,0.7101499438285828,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.0027601520996540785,1.0,2.749066114425659,0.7118999361991882,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
21,0.01227479800581932,0.9999591112136841,2.251112937927246,0.7049999833106995,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.000996654387563467,0.9999999403953552,2.4500837326049805,0.7095500230789185,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
22,0.0011047980515286326,0.9999999403953552,2.4685263633728027,0.7003499269485474,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.004378083162009716,1.0,2.281667947769165,0.7092500329017639,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.008011948317289352,1.0,2.0588386058807373,0.707800030708313,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
28,0.00394408917054534,0.9999999403953552,3.449887990951538,0.6838499903678894,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.003994268830865622,1.0,2.016627550125122,0.7098999619483948,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.008871391415596008,0.9999998807907104,1.6814072132110596,0.7052500247955322,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
19,0.000664408435113728,0.9999999403953552,2.602215051651001,0.6911999583244324,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
14,0.029890818521380424,0.9981940984725952,2.614478826522827,0.6901499629020691,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.007920563220977783,0.9999874830245972,2.8714020252227783,0.6490499973297119,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.004427673760801554,0.9999999403953552,2.0529139041900635,0.7070500254631042,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.032903581857681274,0.999393880367279,1.9370585680007935,0.7155000567436218,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.0012944104382768273,1.0,2.224074602127075,0.6873499751091003,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
18,0.010197428986430168,0.9999936819076538,2.522132158279419,0.656499981880188,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
28,0.0008336360915564001,1.0,2.783785104751587,0.6928000450134277,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
22,0.0010777654824778438,1.0,2.4187116622924805,0.7250499725341797,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
21,0.09204235672950745,0.9917682409286499,2.7320785522460938,0.6605499982833862,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.01214103028178215,0.9999874234199524,1.8529812097549438,0.7008999586105347,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.07251178473234177,0.9960710406303406,1.9493342638015747,0.6814999580383301,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
15,0.0017594547243788838,1.0,2.300259828567505,0.708050012588501,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.04391305148601532,0.997292697429657,2.115778923034668,0.6785499453544617,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
20,0.000977748422883451,0.9999999403953552,2.04917049407959,0.6969000101089478,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
11,0.04972967877984047,0.998376190662384,1.910094141960144,0.6853500604629517,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
15,0.011056875810027122,1.0,2.220811128616333,0.6798499822616577,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
15,0.08122990280389786,0.9936589598655701,2.6248269081115723,0.6550999879837036,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
15,0.11153273284435272,0.9902858734130859,2.7930264472961426,0.6588500142097473,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
