round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
13,0.0014559689443558455,1.0,1.1956701278686523,0.7874999642372131,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
34,9.808541653910652e-05,1.0,1.6311852931976318,0.7545999884605408,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.0005557728582061827,1.0,1.2691618204116821,0.77920001745224,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0006504637422040105,1.0,1.4483219385147095,0.7634000182151794,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
35,8.575922402087599e-05,1.0,1.7526729106903076,0.7653999924659729,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.03205600753426552,0.9994378089904785,1.6603773832321167,0.7414500117301941,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0011210673255845904,1.0,1.2302422523498535,0.7754999995231628,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
23,8.900462853489444e-05,1.0,1.9467769861221313,0.747499942779541,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0009762987610884011,1.0,1.6553393602371216,0.7449000477790833,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.0006751741748303175,0.9999999403953552,1.7703819274902344,0.7297999858856201,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
17,0.1704866737127304,0.9856501817703247,1.4568431377410889,0.7342000007629395,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
20,0.0010786002967506647,1.0,1.800960898399353,0.7640500068664551,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
18,0.006417979020625353,0.999981164932251,1.7942030429840088,0.739300012588501,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0010254901135340333,0.9999999403953552,1.746604561805725,0.7305000424385071,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.03633516654372215,0.9989635944366455,1.699009656906128,0.7228000164031982,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.05843765288591385,0.997273862361908,2.1770639419555664,0.7231999635696411,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.0005275863804854453,1.0,1.534342646598816,0.7653499841690063,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
14,0.006394281052052975,0.9999843239784241,1.6548142433166504,0.7540500164031982,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
26,0.0004189722239971161,0.9999999403953552,2.106309175491333,0.7568999528884888,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
15,0.0006880588480271399,0.9999999403953552,1.3612539768218994,0.7738500237464905,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
17,0.0006540450267493725,1.0,1.3870174884796143,0.7791999578475952,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
12,0.0019139992073178291,1.0,1.1377041339874268,0.7839500308036804,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
20,0.0004553819599095732,1.0,1.3348913192749023,0.7696999907493591,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.00046583465882577,0.9999999403953552,1.4432796239852905,0.7703000903129578,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.0007369985105469823,1.0,1.460869550704956,0.755649983882904,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
13,0.08104034513235092,0.9957318305969238,1.348421573638916,0.7389000058174133,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
17,0.00036639501922763884,1.0,1.4718711376190186,0.7731500864028931,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
24,0.0002942363789770752,1.0,1.8269044160842896,0.7524999380111694,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
16,0.0005141303408890963,1.0,1.315559983253479,0.770799994468689,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b09998c2be0>
