round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
26,0.0033525372855365276,0.9999999403953552,5.743671894073486,0.6971999406814575,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
17,0.0023796125315129757,1.0,4.396027088165283,0.717199981212616,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
25,0.0003670721489470452,1.0,5.380624294281006,0.7027499675750732,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
13,0.04163949936628342,0.9988253116607666,3.4778902530670166,0.7052000164985657,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
17,0.024185296148061752,0.9997048377990723,3.6855435371398926,0.6789999604225159,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
16,0.010569999925792217,0.9999780058860779,3.7251083850860596,0.7078999876976013,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
15,0.1990438848733902,0.9803769588470459,3.4010512828826904,0.7054000496864319,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
24,0.00048289322876371443,1.0,4.8009867668151855,0.7100499868392944,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
17,0.002562236040830612,0.9999999403953552,3.8678464889526367,0.7068000435829163,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
27,0.002182282507419586,1.0,3.529660224914551,0.7030500173568726,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
12,0.004396363161504269,1.0,3.084603786468506,0.694350004196167,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
23,0.00046137269237078726,1.0,3.7754106521606445,0.72694993019104,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
26,0.00028007241780869663,1.0,3.8563218116760254,0.7190999984741211,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
50,0.00010801963071571663,1.0,4.542888164520264,0.7355499863624573,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
15,0.07428374141454697,0.9967243075370789,3.357651948928833,0.7004499435424805,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
18,0.004767823498696089,1.0,4.483623504638672,0.6838499903678894,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
12,0.0016139497747644782,1.0,3.9698445796966553,0.7163999676704407,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
11,0.02176741138100624,0.9997989535331726,3.8878214359283447,0.6894999742507935,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
21,0.024278555065393448,0.9985018968582153,6.292159557342529,0.7160499095916748,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
20,0.0018193316645920277,1.0,4.667124271392822,0.6852999925613403,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
11,0.04329761862754822,0.9990891814231873,3.2430813312530518,0.7254499793052673,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
14,0.02552340365946293,0.99922114610672,3.1628940105438232,0.7095000147819519,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
20,0.0010221507400274277,0.9999999403953552,3.6398913860321045,0.7138999700546265,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
13,0.04610198736190796,0.9986934661865234,3.530585527420044,0.7104499936103821,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
22,0.0003956161963287741,1.0,4.687430381774902,0.7365999817848206,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
11,0.08263327181339264,0.9950094819068909,3.7482361793518066,0.6972500085830688,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
18,0.001854114467278123,1.0,4.473221302032471,0.7090499997138977,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
27,0.00032052863389253616,1.0,4.28985595703125,0.7060999870300293,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
17,0.0010458845645189285,1.0,3.5128867626190186,0.7119500041007996,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad21fd870b8>
