round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
14,0.1492859572172165,0.9852891564369202,1275279835136.0,0.6851000189781189,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
14,0.0062889414839446545,0.9999999403953552,2757364285440.0,0.6988000273704529,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
16,0.0008950940682552755,1.0,3948441239552.0,0.7104499936103821,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
25,0.00035525488783605397,1.0,3587147300864.0,0.7209499478340149,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
17,0.0017565275775268674,0.9999999403953552,3006682365952.0,0.7046500444412231,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
16,0.0008309595286846161,0.9999999403953552,199273480192.0,0.7046999931335449,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
15,0.009428203105926514,0.9999591112136841,2.715439558029175,0.7131499648094177,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
11,0.11040374636650085,0.9927451014518738,1074098601984.0,0.7335500121116638,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
18,0.0029294064734131098,1.0,2034591727616.0,0.7060499787330627,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
20,0.003171696327626705,0.9999999403953552,4255684231168.0,0.7076499462127686,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
17,0.0015096263960003853,1.0,4909476872192.0,0.7066499590873718,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
15,0.001879428164102137,1.0,2412200329216.0,0.7222000360488892,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
12,0.0021508708596229553,0.9999999403953552,2632504836096.0,0.6951499581336975,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
13,0.023152252659201622,0.9997550249099731,444150153216.0,0.7324000000953674,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
12,0.006313254125416279,1.0,2997858861056.0,0.678600013256073,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
12,0.0308204498142004,0.9998553991317749,8263754240.0,0.6882500648498535,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
25,0.000848551222588867,1.0,1280221642752.0,0.7063999772071838,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
12,0.003368726000189781,1.0,1132330614784.0,0.7284500002861023,1000,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
17,0.0012781451223418117,0.9999999403953552,30941560832.0,0.687999963760376,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
15,0.0015379152027890086,1.0,2447898574848.0,0.7111999988555908,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
13,0.032464299350976944,0.9995791912078857,1404866265088.0,0.7179999351501465,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
23,0.0004952407907694578,1.0,3.025238037109375,0.7384999990463257,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
29,0.0007156895590014756,1.0,753773445120.0,0.67330002784729,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
22,0.0005777033511549234,1.0,3221400322048.0,0.7027999758720398,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
16,0.02025279402732849,0.9985458254814148,3052208128000.0,0.7164499759674072,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
13,0.0023282014299184084,0.9999999403953552,752222470144.0,0.7109999656677246,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
19,0.0011085063451901078,0.9999999403953552,5250321219584.0,0.7213499546051025,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
15,0.1153743788599968,0.990763247013092,299386798080.0,0.7434999346733093,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
21,0.0008391875308007002,0.9999999403953552,1216874020864.0,0.7312999963760376,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2ad37e0b40f0>
