round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
12,0.15411372482776642,0.9855748414993286,2782113300480.0,0.7175500392913818,750,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.0011246587382629514,1.0,79811911680.0,0.7173499464988708,1000,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.0030161994509398937,0.9999999403953552,3268095246336.0,0.6914499998092651,500,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
15,0.006406869273632765,1.0,1706359652352.0,0.6870499849319458,500,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.002923260908573866,1.0,1595788754944.0,0.7285500168800354,500,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
15,0.0011440300149843097,0.9999999403953552,597764079616.0,0.7159000039100647,750,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.002320497063919902,0.9999999403953552,378691321856.0,0.7320500016212463,750,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.0008593260427005589,1.0,1370447282176.0,0.6807000041007996,1000,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.1469103991985321,0.9885364770889282,1.8342076539993286,0.6924000382423401,750,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.004275502637028694,1.0,1001477767168.0,0.7191499471664429,750,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
24,0.001316727721132338,1.0,2.7228569984436035,0.715149998664856,750,500,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
18,0.014682178385555744,0.9986024498939514,2.156749963760376,0.6990000009536743,1000,200,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.01422804407775402,0.9997361302375793,1.8595119714736938,0.6981500387191772,500,100,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.206928551197052,0.9803174138069153,2290595659776.0,0.7020500302314758,500,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.003874517511576414,1.0,1.6980892419815063,0.7359500527381897,500,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
14,0.05417380481958389,0.9972392916679382,1211852128256.0,0.6982499957084656,1000,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.045074280351400375,0.9979523420333862,3462473187328.0,0.6720499396324158,750,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.028004350140690804,0.9994723200798035,1191542915072.0,0.6906500458717346,1000,650,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
16,0.07723074406385422,0.9946609139442444,939858329600.0,0.6395000219345093,500,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.007102567236870527,0.9999999403953552,4994122645504.0,0.7170500159263611,500,750,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
14,0.0022727956529706717,0.9999999403953552,1.8338730335235596,0.7217000126838684,1000,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
19,0.0007387142977677286,1.0,1499485437952.0,0.7116000056266785,1000,300,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
13,0.002774285152554512,1.0,1422883553280.0,0.7229999303817749,750,150,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.025331297889351845,0.9996387958526611,1070358855680.0,0.6653000116348267,1000,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
19,0.0005095777451060712,1.0,4366172422144.0,0.716450035572052,750,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
14,0.006229881197214127,0.9999936819076538,291260825600.0,0.715749979019165,500,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
17,0.007919355295598507,0.9999874234199524,2.270538568496704,0.6977500319480896,500,250,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
14,0.1808592528104782,0.9829209446907043,2319195045888.0,0.7160999774932861,750,900,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
12,0.27109494805336,0.9638947248458862,1.3547619581222534,0.7126999497413635,1000,1000,relu,sigmoid,32,50,0.2,0.001,<keras.callbacks.EarlyStopping object at 0x2b06046dc5f8>
